"No.","Ticker","Company","Sector","Industry","Market Cap","EPS Surprise","Short Interest","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (Week)","Performance (Month)","Change from Open","Volume","Price","Change"
1,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials",2813.84,1566.67%,4.34,0.11%,-0.01%,0.10%,6.74%,-13.52%,10.56%,4520762,86.26,13.10%
2,"SNDK","Sandisk Corp","Technology","Computer Hardware",254769.07,12.26%,7.68,0.14%,0.13%,0.07%,17.17%,38.25%,9.71%,16556967,1740.00,11.90%
3,"ALAB","Astera Labs Inc","Technology","Semiconductors",53849.78,15.77%,8.75,0.12%,0.21%,0.34%,7.23%,-6.37%,8.53%,6536259,310.40,9.75%
4,"NBIS","Nebius Group NV","Technology","Software - Infrastructure",61545.31,83.36%,55.36,-0.07%,0.09%,-0.09%,8.23%,19.23%,7.71%,14970670,226.39,7.48%
5,"COHU","Cohu Inc","Technology","Semiconductor Equipment & Materials",2401.01,86.38%,8.95,0.24%,0.24%,-1.00%,5.67%,-2.07%,7.57%,873315,50.72,10.31%
6,"SKHY","SK Hynix Inc ADR","Technology","Semiconductors",1290091.05,89.46%,27.23,0.03%,0.07%,0.05%,9.91%,23.32%,7.53%,20803242,177.00,8.14%
7,"AXTI","AXT Inc","Technology","Semiconductor Equipment & Materials",4041.93,163.89%,10.75,0.02%,-0.47%,-0.21%,5.13%,-18.00%,6.85%,10899283,61.64,9.68%
8,"BE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts",74477.13,92.07%,18.26,0.03%,-0.03%,-0.55%,19.97%,10.44%,6.78%,16469363,252.87,7.35%
9,"SMTC","Semtech Corp","Technology","Semiconductors",13801.46,15.62%,7.21,0.54%,0.27%,0.41%,12.74%,9.72%,6.61%,2801670,147.88,9.22%
10,"TTMI","TTM Technologies Inc","Technology","Electronic Components",13231.82,10.74%,2.91,-0.33%,-0.02%,-0.14%,5.86%,-7.89%,5.92%,2321384,125.60,8.85%
