No.,Ticker,Company,Sector,Industry
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research
2,AA,Alcoa Corp,Basic Materials,Aluminum
3,AAL,American Airlines Group Inc,Industrials,Airlines
4,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment
5,AAON,AAON Inc,Industrials,Building Products & Equipment
6,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts
7,AAPL,Apple Inc,Technology,Consumer Electronics
8,AAUC,Allied Gold Corp,Basic Materials,Gold
9,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General
10,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers
11,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services
12,ABT,Abbott Laboratories,Healthcare,Medical Devices
13,ABVX,Abivax ADR,Healthcare,Biotechnology
14,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology
15,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified
16,ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities
17,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense
18,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores
19,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure
20,ACLX,Arcellx Inc,Healthcare,Biotechnology
21,ACM,AECOM,Industrials,Engineering & Construction
22,ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials
23,ACN,Accenture plc,Technology,Information Technology Services
24,ADBE,Adobe Inc,Technology,Software - Application
25,ADC,Agree Realty Corp,Real Estate,REIT - Retail
26,ADEA,Adeia Inc,Technology,Software - Application
27,ADI,Analog Devices Inc,Technology,Semiconductors
28,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products
29,ADMA,Adma Biologics Inc,Healthcare,Biotechnology
30,ADP,Automatic Data Processing Inc,Technology,Software - Application
31,ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology
32,ADSK,Autodesk Inc,Technology,Software - Application
33,ADT,ADT Inc,Industrials,Security & Protection Services
34,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric
35,AEG,Aegon Ltd,Financial,Insurance - Diversified
36,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold
37,AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail
38,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric
39,AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services
40,AES,AES Corp,Utilities,Utilities - Diversified
41,AFL,Aflac Inc,Financial,Insurance - Life
42,AFRM,Affirm Holdings Inc,Financial,Credit Services
43,AG,First Majestic Silver Corporation,Basic Materials,Silver
44,AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery
45,AGI,Alamos Gold Inc,Basic Materials,Gold
46,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage
47,AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities
48,AIG,American International Group Inc,Financial,Insurance - Diversified
49,AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers
50,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure
51,AKR,Acadia Realty Trust,Real Estate,REIT - Retail
52,AL,Air Lease Corp,Industrials,Rental & Leasing Services
53,ALAB,Astera Labs Inc,Technology,Semiconductors
54,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals
55,ALC,Alcon Inc,Healthcare,Medical Instruments & Supplies
56,ALGM,Allegro Microsystems Inc,Technology,Semiconductors
57,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies
58,ALH,Alliance Laundry Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
59,ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans
60,ALK,Alaska Air Group Inc,Industrials,Airlines
61,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic
62,ALL,Allstate Corp,Financial,Insurance - Property & Casualty
63,ALLE,Allegion plc,Industrials,Security & Protection Services
64,ALLY,Ally Financial Inc,Financial,Credit Services
65,ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining
66,ALMS,Alumis Inc,Healthcare,Biotechnology
67,ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology
68,ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts
69,AM,Antero Midstream Corp,Energy,Oil & Gas Midstream
70,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
71,AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials
72,AMBP,Ardagh Metal Packaging S.A,Consumer Cyclical,Packaging & Containers
73,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers
74,AMD,Advanced Micro Devices Inc,Technology,Semiconductors
75,AME,Ametek Inc,Industrials,Specialty Industrial Machinery
76,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General
77,AMH,American Homes 4 Rent,Real Estate,REIT - Residential
78,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials
79,AMPX,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts
80,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
81,AMRZ,Amrize Ltd,Basic Materials,Building Materials
82,AMT,American Tower Corp,Real Estate,REIT - Specialty
83,AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services
84,AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services
85,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail
86,ANET,Arista Networks Inc,Technology,Computer Hardware
87,ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail
88,AON,Aon plc,Financial,Insurance Brokers
89,AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery
90,APA,APA Corporation,Energy,Oil & Gas E&P
91,APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals
92,APG,APi Group Corporation,Industrials,Engineering & Construction
93,APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology
94,APH,Amphenol Corp,Technology,Electronic Components
95,APLD,Applied Digital Corporation,Technology,Information Technology Services
96,APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel
